labels,movie_name,nums,ranking,rate,score,score_num,title
[['动画']],,30299263,,7.7,,2018,喂，看见耳朵啦 ほら、耳がみえてるよ！‎ (2018)
"[['科幻', '动画']]",,30230181,,7.9,,2018,小绿和小蓝‎ (2018)
[['剧情']],,26710256,,7.0,,2018,那些年，我们正年轻‎ (2018)
[['喜剧']],,27143690,,5.5,,2018,伙头军客栈‎ (2018)
"[['动画', '冒险']]",,27157730,,7.0,,2018,四海鲸骑‎ (2018)
"[['剧情', '奇幻', '古装']]",,26756260,,4.5,,2018,武动乾坤‎ (2018)
[['爱情']],,27197312,,6.0,,2018,惹上冷殿下‎ (2018)
"[['剧情', '犯罪', '悬疑']]",,27198145,,6.0,,2018,法医秦明之幸存者‎ (2018)
"[['剧情', '古装']]",,27005229,,7.6,,2018,夜天子‎ (2018)
"[['剧情', '科幻', '悬疑']]",,27083735,,7.7,,2018,疯人院‎ (2018)
[['剧情']],,26855827,,4.7,,2018,合伙人‎ (2018)
"[['剧情', '喜剧', '爱情', '古装']]",,30279911,,6.5,,2018,朕的刺客女友‎ (2018)
"[['剧情', '爱情', '古装']]",,26761328,,8.2,,2018,天盛长歌‎ (2018)
"[['剧情', '爱情', '奇幻']]",,27089387,,7.2,,2018,媚者无疆‎ (2018)
[['剧情']],,27126973,,8.4,,2018,最美的青春‎ (2018)
"[['剧情', '爱情', '奇幻', '古装']]",,26920281,,7.7,,2018,香蜜沉沉烬如霜‎ (2018)
"[['剧情', '爱情']]",,27034586,,5.2,,2018,爱情进化论‎ (2018)
,,,,,27034587,,
,,,,,26785790,,
,,,,,26999852,,
,,,,,27148208,,
,,,,,27106905,,
,,,,,30238424,,
,,,,,27005982,,
,,,,,26420675,,
,,,,,27015848,,
,,,,,26956031,,
,,,,,26974779,,
,,,,,30272760,,
,,,,,27180959,,
,,,,,30259908,,
,,,,,26593756,,
,,,,,30263199,,
,,,,,26776530,,
,,,,,10439239,,
,,,,,30255190,,
,,,,,27068569,,
"[['喜剧', '爱情']]",,27034587,,2.7,,2018,甜蜜暴击‎ (2018)
[['爱情']],,27106905,,5.8,,2018,我和两个他‎ (2018)
"[['剧情', '动画', '奇幻']]",,27148208,,8.1,,2018,西行纪‎ (2018)
"[['剧情', '爱情', '古装']]",,26999852,,7.2,,2018,延禧攻略‎ (2018)
[['剧情']],,26785790,,6.5,,2018,沙海‎ (2018)
"[['剧情', '古装']]",,26776530,,6.4,,2018,热血书院‎ (2018)
[['剧情']],,30263199,,4.3,,2018,岁岁年年柿柿红‎ (2018)
"[['剧情', '喜剧', '奇幻']]",,26593756,,6.2,,2018,重返20岁‎ (2018)
"[['喜剧', '动画', '奇幻', '短片']]",,30259908,,9.0,,2018,请吃红小豆吧！‎ (2018)
"[['剧情', '动画', '古装']]",,27015848,,8.9,,2018,魔道祖师‎ (2018)
"[['奇幻', '武侠', '古装']]",,26420675,,5.6,,2018,古剑奇谭2‎ (2018)
"[['剧情', '动作', '犯罪', '悬疑', '惊悚']]",,27180959,,4.5,,2018,猎毒人‎ (2018)
"[['剧情', '爱情', '古装']]",,26956031,,6.1,,2018,天乩之白蛇传说‎ (2018)
"[['动画', '奇幻', '冒险']]",,30272760,,8.3,,2018,京剧猫之乘风破浪‎ (2018)
"[['喜剧', '爱情']]",,27005982,,7.2,,2018,最亲爱的你‎ (2018)
[['爱情']],,26974779,,3.2,,2018,流星花园‎ (2018)
"[['奇幻', '古装']]",,27068569,,3.2,,2018,素手遮天‎ (2018)
"[['喜剧', '动画']]",,30255190,,8.6,,2018,快把我哥带走 第二季‎ (2018)
"[['剧情', '悬疑']]",,10439239,,6.4,,2018,青春警事‎ (2018)
"[['喜剧', '动画']]",,30238424,,7.3,,2018,阴阳师·百鬼幼儿园‎ (2018)
,,,,,27119575,,
,,,,,27045331,,
,,,,,26816381,,
,,,,,27099214,,
,,,,,27088995,,
,,,,,26897025,,
,,,,,26640097,,
,,,,,26974046,,
,,,,,25923576,,
,,,,,26913955,,
,,,,,27073847,,
,,,,,27197296,,
,,,,,26864184,,
,,,,,27005238,,
,,,,,26892564,,
,,,,,27041379,,
,,,,,26864185,,
,,,,,26964430,,
,,,,,30227821,,
,,,,,27203019,,
"[['悬疑', '惊悚']]",,26816381,,7.5,,2018,S.C.I.谜案集‎ (2018)
"[['喜剧', '家庭']]",,27045331,,7.5,,2018,快把我哥带走‎ (2018)
[['家庭']],,27119575,,6.1,,2018,陪读妈妈‎ (2018)
[['爱情']],,27099214,,4.4,,2018,我们的青春期‎ (2018)
"[['爱情', '武侠', '古装']]",,26897025,,6.5,,2018,芸汐传‎ (2018)
"[['剧情', '奇幻']]",,26864185,,4.1,,2018,钟馗捉妖记‎ (2018)
"[['爱情', '奇幻']]",,27088995,,5.2,,2018,一千零一夜‎ (2018)
"[['喜剧', '爱情', '古装']]",,26892564,,7.0,,2018,萌妃驾到‎ (2018)
"[['喜剧', '爱情', '奇幻']]",,27197296,,7.2,,2018,亲爱的活祖宗‎ (2018)
[['剧情']],,27005238,,5.9,,2018,爱国者‎ (2018)
"[['喜剧', '爱情', '奇幻']]",,27073847,,7.3,,2018,来到你的世界‎ (2018)
"[['剧情', '爱情']]",,26864184,,6.6,,2018,脱身‎ (2018)
"[['剧情', '奇幻']]",,26964430,,6.3,,2018,同学两亿岁‎ (2018)
"[['动作', '悬疑']]",,27041379,,6.0,,2018,走火‎ (2018)
"[['剧情', '犯罪', '悬疑']]",,26913955,,5.6,,2018,法医秦明2清道夫‎ (2018)
"[['剧情', '历史']]",,25923576,,8.1,,2018,灵与肉‎ (2018)
"[['犯罪', '悬疑']]",,30227821,,5.6,,2018,法网追凶‎ (2018)
"[['喜剧', '爱情']]",,27203019,,6.6,,2018,想看你微笑‎ (2018)
"[['剧情', '爱情']]",,26974046,,7.2,,2018,为了你我愿意热爱整个世界‎ (2018)
"[['剧情', '爱情', '古装']]",,26640097,,4.7,,2018,扶摇‎ (2018)
,,,,,27119570,,
,,,,,26689427,,
,,,,,27034838,,
,,,,,27029233,,
,,,,,27083672,,
,,,,,30198448,,
,,,,,26894634,,
,,,,,27107131,,
,,,,,27185556,,
,,,,,26744053,,
,,,,,30200988,,
,,,,,26873807,,
,,,,,30210257,,
,,,,,30203343,,
,,,,,26311907,,
,,,,,30192056,,
,,,,,26616334,,
,,,,,30122631,,
,,,,,27624762,,
,,,,,27135558,,
[['剧情']],,27029233,,7.6,,2018,东方华尔街‎ (2018)
"[['科幻', '悬疑', '冒险']]",,30198448,,4.9,,2018,冒险王卫斯理之无名发‎ (2018)
"[['剧情', '爱情', '家庭']]",,27034838,,4.1,,2018,如果，爱‎ (2018)
"[['喜剧', '家庭']]",,26689427,,6.3,,2018,家有儿女初长成‎ (2018)
"[['剧情', '犯罪']]",,27119570,,5.8,,2018,骨语‎ (2018)
"[['剧情', '奇幻']]",,26616334,,3.2,,2018,莽荒纪‎ (2018)
"[['剧情', '运动']]",,27083672,,4.2,,2018,热血狂篮‎ (2018)
"[['剧情', '动画']]",,30122631,,7.3,,2018,全职高手 特别篇‎ (2018)
"[['剧情', '动作', '犯罪']]",,30203343,,7.4,,2018,远大前程·双龙会‎ (2018)
"[['动画', '武侠', '古装']]",,30192056,,6.6,,2018,帝王攻略‎ (2018)
"[['剧情', '爱情']]",,26311907,,4.8,,2018,温暖的弦‎ (2018)
"[['爱情', '悬疑', '短片']]",,30210257,,7.9,,2018,不过是分手 第一季‎ (2018)
[['爱情']],,26744053,,5.2,,2018,泡沫之夏‎ (2018)
[['古装']],,27135558,,5.2,,2018,哦！我的皇帝陛下‎ (2018)
"[['剧情', '喜剧', '动作', '动画']]",,27624762,,8.9,,2018,刺客伍六七‎ (2018)
"[['爱情', '奇幻']]",,27107131,,7.1,,2018,结爱·千岁大人的初恋‎ (2018)
,,,,,30198446,,
,,,,,27015980,,
,,,,,27168833,,
,,,,,27041389,,
,,,,,26953998,,
,,,,,26887181,,
"[['传记', '历史']]",,26894634,,5.0,,2018,楼外楼‎ (2018)
,,,,,26761299,,
,,,,,27020958,,
,,,,,30155194,,
,,,,,27176635,,
,,,,,30167108,,
,,,,,26959073,,
,,,,,26969029,,
,,,,,26787091,,
,,,,,27621204,,
,,,,,27115272,,
,,,,,26838067,,
,,,,,27620007,,
,,,,,27114843,,
,,,,,30214054,,
[['剧情']],,27185556,,6.7,,2018,上海女子图鉴‎ (2018)
"[['剧情', '爱情']]",,26873807,,7.3,,2018,爱情的边疆‎ (2018)
"[['剧情', '儿童', '动作', '历史', '古装']]",,26953998,,8.0,,2018,小戏骨：水浒传‎ (2018)
"[['剧情', '悬疑']]",,26887181,,4.4,,2018,真爱的谎言之破冰者‎ (2018)
[['剧情']],,27041389,,8.2,,2018,忽而今夏‎ (2018)
"[['喜剧', '动画', '奇幻']]",,27168833,,7.4,,2018,阴阳师·平安物语‎ (2018)
"[['喜剧', '爱情', '古装']]",,27015980,,6.3,,2018,萌妻食神‎ (2018)
"[['剧情', '动作', '犯罪', '悬疑']]",,26969029,,5.8,,2018,飞虎之潜行极战‎ (2018)
"[['剧情', '科幻', '悬疑', '冒险']]",,30198446,,4.4,,2018,冒险王卫斯理之蓝血人‎ (2018)
[['动画']],,26959073,,6.3,,2018,实验品家庭 実験品家族‎ (2018)
[['剧情']],,27176635,,6.2,,2018,北京女子图鉴‎ (2018)
"[['剧情', '喜剧', '动画']]",,27020958,,8.4,,2018,凸变英雄 LEAF‎ (2018)
"[['剧情', '爱情']]",,26761299,,5.1,,2018,下一站，别离‎ (2018)
"[['剧情', '爱情']]",,30200988,,8.2,,2018,假如没有遇见你‎ (2018)
"[['喜剧', '爱情']]",,30155194,,5.6,,2018,我才不会被女孩子欺负呢‎ (2018)
[['剧情']],,27115272,,7.1,,2018,金牌投资人‎ (2018)
[['动画']],,27621204,,7.5,,2018,我家大师兄脑子有坑‎ (2018)
[['爱情']],,27114843,,6.8,,2018,动物系恋人啊‎ (2018)
[['动画']],,27620007,,9.0,,2018,非人哉‎ (2018)
"[['剧情', '爱情']]",,26787091,,5.0,,2018,海上嫁女记‎ (2018)
[['剧情']],,26838067,,6.5,,2018,远大前程‎ (2018)
"[['剧情', '爱情', '家庭']]",,30214054,,2.9,,2018,初婚‎ (2018)
,,,,,26801742,,
,,,,,30167116,,
,,,,,26765222,,
,,,,,27079058,,
,,,,,27018233,,
,,,,,27013587,,
,,,,,27043642,,
,,,,,25823281,,
,,,,,26703476,,
,,,,,26979088,,
,,,,,26972555,,
,,,,,26984529,,
,,,,,26924105,,
,,,,,24732881,,
,,,,,27148204,,
,,,,,26856479,,
,,,,,30156276,,
,,,,,26951638,,
,,,,,26703950,,
,,,,,26615514,,
"[['喜剧', '奇幻']]",,27079058,,4.8,,2018,万能图书馆‎ (2018)
"[['剧情', '喜剧', '动画']]",,30167116,,9.3,,2018,茶啊二中 第四季‎ (2018)
"[['剧情', '古装']]",,26801742,,6.4,,2018,三国机密之潜龙在渊‎ (2018)
"[['剧情', '爱情']]",,26765222,,5.3,,2018,南方有乔木‎ (2018)
"[['剧情', '历史']]",,27043642,,7.9,,2018,面具‎ (2018)
"[['剧情', '爱情']]",,25823281,,6.3,,2018,人生若如初相见‎ (2018)
"[['爱情', '奇幻', '古装']]",,26703476,,5.9,,2018,烈火如歌‎ (2018)
"[['剧情', '动作', '动画', '奇幻', '冒险']]",,27013587,,7.1,,2018,斗破苍穹 第二季‎ (2018)
"[['剧情', '科幻', '悬疑', '冒险']]",,30167108,,4.0,,2018,冒险王卫斯理之支离人‎ (2018)
"[['剧情', '爱情']]",,27018233,,6.0,,2018,老男孩‎ (2018)
"[['武侠', '古装']]",,26951638,,6.3,,2018,飘香剑雨‎ (2018)
"[['剧情', '动作', '战争', '动画']]",,30156276,,8.7,,2018,雄兵连之乾坤篇‎ (2018)
"[['喜剧', '动作', '爱情']]",,26856479,,6.5,,2018,盛势‎ (2018)
"[['喜剧', '爱情']]",,27148204,,5.1,,2018,内衣先生‎ (2018)
"[['剧情', '爱情', '古装']]",,26703950,,4.2,,2018,柜中美人‎ (2018)
"[['爱情', '古装']]",,24732881,,6.2,,2018,独孤天下‎ (2018)
"[['剧情', '武侠', '古装']]",,26924105,,2.6,,2018,新笑傲江湖‎ (2018)
"[['喜剧', '爱情']]",,26984529,,7.4,,2018,单恋大作战‎ (2018)
"[['剧情', '爱情']]",,26615514,,4.5,,2018,一路繁花相送‎ (2018)
"[['剧情', '犯罪']]",,26979088,,3.3,,2018,利刃出击‎ (2018)
"[['剧情', '爱情']]",,26972555,,5.0,,2018,美好生活‎ (2018)
,,,,,27095911,,
,,,,,27125544,,
,,,,,26727942,,
,,,,,30140225,,
,,,,,26630706,,
,,,,,26901397,,
,,,,,26951952,,
,,,,,27607410,,
,,,,,26828285,,
,,,,,26979216,,
,,,,,27063398,,
,,,,,27040807,,
,,,,,27205193,,
,,,,,26388618,,
,,,,,26359236,,
,,,,,26827972,,
,,,,,27663966,,
,,,,,26860788,,
,,,,,26980000,,
,,,,,26844133,,
"[['奇幻', '武侠', '古装']]",,26901397,,5.4,,2018,蜀山战纪2踏火行歌‎ (2018)
"[['剧情', '爱情']]",,26727942,,3.5,,2018,谈判官‎ (2018)
"[['剧情', '爱情']]",,27095911,,5.8,,2018,二分之一美少年‎ (2018)
"[['剧情', '喜剧']]",,27125544,,6.9,,2018,乡村爱情协奏曲‎ (2018)
"[['剧情', '爱情']]",,26630706,,3.6,,2018,初遇在光年之外‎ (2018)
"[['剧情', '动画', '奇幻']]",,27040807,,7.2,,2018,斗罗大陆‎ (2018)
"[['爱情', '奇幻']]",,27205193,,6.2,,2018,幸福，近在咫尺‎ (2018)
"[['剧情', '悬疑']]",,26828285,,7.9,,2018,和平饭店‎ (2018)
"[['剧情', '儿童', '奇幻']]",,26951952,,6.2,,2018,小戏骨：八仙过海‎ (2018)
"[['剧情', '爱情']]",,27063398,,3.8,,2018,我站在桥上看风景‎ (2018)
"[['剧情', '爱情']]",,26844133,,5.2,,2018,小楼又东风‎ (2018)
"[['剧情', '动作', '动画', '古装']]",,27607410,,6.6,,2018,画江湖之侠岚‎ (2018)
"[['喜剧', '悬疑']]",,26979216,,7.3,,2018,继承者计划‎ (2018)
"[['动作', '动画', '悬疑']]",,30140225,,8.5,,2018,迷域行者‎ (2018)
[['剧情']],,26980000,,6.1,,2018,换了人间‎ (2018)
,,,,,27124505,,
,,,,,27135572,,
,,,,,26984555,,
,,,,,26894637,,
,,,,,26900424,,
,,,,,26617054,,
,,,,,26665065,,
,,,,,27068975,,
,,,,,25752323,,
,,,,,26743570,,
,,,,,27149729,,
,,,,,26584874,,
,,,,,27119496,,
,,,,,26919019,,
,,,,,27601018,,
,,,,,27087788,,
,,,,,26956042,,
,,,,,27194636,,
"[['剧情', '犯罪']]",,26860788,,7.5,,2018,莫斯科行动‎ (2018)
"[['剧情', '爱情']]",,26827972,,5.7,,2018,恋爱先生‎ (2018)
"[['剧情', '爱情', '古装']]",,26359236,,3.5,,2018,凤囚凰‎ (2018)
,,,,,27006122,,
,,,,,26694156,,
"[['喜剧', '爱情']]",,27663966,,3.4,,2018,龙日一，你死定了 第二季‎ (2018)
[['古装']],,26388618,,2.3,,2018,寻秦记‎ (2018)
"[['动作', '爱情', '战争']]",,26894637,,3.8,,2017,勇者胜‎ (2017)
"[['剧情', '古装']]",,26665065,,8.5,,2017,琅琊榜之风起长林‎ (2017)
"[['剧情', '动作', '奇幻']]",,26900424,,6.7,,2017,器灵 第二季‎ (2017)
"[['剧情', '动画', '奇幻', '武侠']]",,27135572,,7.6,,2017,武庚纪 第二季‎ (2017)
"[['剧情', '爱情', '家庭']]",,27124505,,7.1,,2018,我的青春遇见你‎ (2018)
"[['剧情', '科幻', '古装']]",,26617054,,6.4,,2017,不负如来不负卿‎ (2017)
"[['爱情', '奇幻', '古装']]",,26984555,,6.5,,2017,艳骨‎ (2017)
[['喜剧']],,27119496,,5.6,,2017,生活大爆炒‎ (2017)
[['剧情']],,26584874,,5.4,,2017,柒个我‎ (2017)
"[['动画', '武侠']]",,27149729,,7.9,,2017,墓王之王悬棺寺‎ (2017)
[['古装']],,27068975,,3.3,,2017,花落宫廷错流年‎ (2017)
[['剧情']],,26743570,,7.1,,2017,红蔷薇‎ (2017)
"[['科幻', '悬疑']]",,27006122,,7.6,,2017,端脑‎ (2017)
"[['剧情', '家庭']]",,27194636,,3.3,,2017,回家的路有多远‎ (2017)
"[['喜剧', '爱情']]",,26956042,,3.0,,2017,龙日一，你死定了‎ (2017)
"[['剧情', '喜剧']]",,26919019,,6.2,,2017,亲爱的她们‎ (2017)
[[]],,27601018,,7.2,,2017,宅人食堂 第三季‎ (2017)
"[['剧情', '古装']]",,26694156,,4.6,,2017,国士无双黄飞鸿‎ (2017)
"[['剧情', '悬疑']]",,25752323,,8.7,,2017,风筝‎ (2017)
"[['剧情', '战争', '古装']]",,27087788,,8.4,,2017,虎啸龙吟‎ (2017)
,,,,,27075285,,
,,,,,26923018,,
,,,,,26979979,,
,,,,,27594245,,
,,,,,26839513,,
,,,,,26830891,,
,,,,,26700516,,
,,,,,26839485,,
,,,,,26724134,,
,,,,,26322999,,
,,,,,27079317,,
,,,,,26918876,,
,,,,,26926323,,
,,,,,27026077,,
,,,,,26776469,,
,,,,,27008416,,
,,,,,27038993,,
,,,,,27003249,,
,,,,,26581830,,
,,,,,26322642,,
"[['剧情', '爱情', '古装']]",,26923018,,3.5,,2017,花谢花飞花满天‎ (2017)
[['剧情']],,26839513,,6.1,,2017,溏心风暴3‎ (2017)
[['动画']],,27594245,,7.0,,2017,熊出没之探险日记‎ (2017)
"[['剧情', '爱情']]",,26918876,,5.2,,2017,特化师‎ (2017)
"[['剧情', '爱情']]",,26979979,,8.8,,2017,一起同过窗 第二季‎ (2017)
"[['剧情', '爱情']]",,26830891,,2.5,,2017,极光之恋‎ (2017)
"[['剧情', '古装']]",,27075285,,6.2,,2017,天下粮田‎ (2017)
[['剧情']],,26926323,,5.5,,2017,儿科医生‎ (2017)
"[['剧情', '家庭']]",,26724134,,6.1,,2017,生逢灿烂的日子‎ (2017)
"[['剧情', '爱情', '奇幻']]",,27079317,,4.9,,2017,无法拥抱的你‎ (2017)
"[['剧情', '奇幻', '古装']]",,26322999,,6.8,,2017,九州·海上牧云记‎ (2017)
