labels,movie_name,nums,ranking,rate,score,score_num,title
,,,,,11627047,,
,,,,,1786742,,
"[['剧情', '爱情', '家庭']]",,4914642,,5.8,,2011,回家的诱惑‎ (2011)
"[['剧情', '喜剧', '古装']]",,2248757,,8.1,,2001,铁齿铜牙纪晓岚‎ (2001)
"[['剧情', '喜剧', '爱情', '古装']]",,2229576,,7.8,,2001,上错花轿嫁对郎‎ (2001)
[['历史']],,3904560,,8.6,,1998,水浒传‎ (1998)
[['剧情']],,27172912,,7.3,,2018,我们的四十年‎ (2018)
"[['喜剧', '爱情']]",,30351548,,8.3,,2018,教室的那一间‎ (2018)
"[['喜剧', '爱情', '古装']]",,26868416,,7.9,,2017,花间提壶方大厨‎ (2017)
"[['爱情', '奇幻']]",,27088995,,5.2,,2018,一千零一夜‎ (2018)
"[['剧情', '爱情']]",,2347485,,9.0,,2008,天道‎ (2008)
"[['剧情', '家庭']]",,26322639,,7.8,,2016,小别离‎ (2016)
"[['剧情', '喜剧', '爱情']]",,6312211,,7.2,,2012,爱情公寓3‎ (2012)
"[['剧情', '奇幻', '古装']]",,26322999,,6.8,,2017,九州·海上牧云记‎ (2017)
"[['剧情', '悬疑', '古装']]",,2157131,,8.1,,2000,少年包青天‎ (2000)
"[['剧情', '爱情']]",,26861629,,6.2,,2017,春风十里，不如你‎ (2017)
"[['剧情', '爱情']]",,5384548,,8.2,,2011,步步惊心‎ (2011)
"[['剧情', '动作', '动画']]",,26392671,,8.5,,2016,镇魂街 第一季‎ (2016)
"[['战争', '剧情', '音乐', '爱情']]",,1786742,,7.1,,2001,情深深雨濛濛‎ (2001)
"[['喜剧', '爱情']]",,4707205,,8.0,,2011,爱情公寓2‎ (2011)
"[['喜剧', '古装']]",,11627047,,7.4,,2013,龙门镖局‎ (2013)
"[['剧情', '喜剧', '犯罪', '悬疑']]",,25835480,,8.1,,2014,暗黑者‎ (2014)
[['爱情']],,27624636,,6.0,,2018,大约是爱‎ (2018)
"[['剧情', '爱情', '悬疑']]",,26939218,,6.5,,2017,寒武纪‎ (2017)
"[['剧情', '动画']]",,3025311,,9.0,,2007,神厨小福贵‎ (2007)
"[['剧情', '爱情', '古装']]",,24827545,,6.9,,2017,大唐荣耀‎ (2017)
,,,,,4226460,,
,,,,,26614088,,
,,,,,2158486,,
,,,,,27176635,,
,,,,,27663746,,
,,,,,26657015,,
