labels,movie_name,nums,ranking,rate,score,score_num,title
"[['喜剧', '短片']]",,2383045,,9.2,,2004,红男绿女‎ (2004)
"[['剧情', '历史', '战争']]",,2272239,,9.1,,1995,大地之子 大地の子‎ (1995)
"[['剧情', '战争']]",,2381059,,9.1,,1999,上海沧桑‎ (1999)
"[['剧情', '喜剧']]",,25851630,,9.1,,2015,金刚葫芦娃‎ (2015)
"[['剧情', '历史', '动画', '冒险', '武侠']]",,25884755,,9.1,,2014,空山鸟语‎ (2014)
"[['历史', '战争']]",,2245699,,9.1,,1999,我亲爱的祖国‎ (1999)
"[['剧情', '儿童', '古装']]",,26951951,,9.1,,2017,小戏骨：红楼梦之刘姥姥进大观园‎ (2017)
"[['剧情', '喜剧', '家庭']]",,4074185,,9.1,,1995,老娘舅‎ (1995)
"[['剧情', '历史']]",,6018955,,9.1,,2012,我们的法兰西岁月‎ (2012)
"[['剧情', '传记', '历史', '战争', '古装']]",,2341884,,9.1,,1996,东周列国·春秋篇‎ (1996)
"[['剧情', '历史', '古装']]",,4858790,,9.1,,2013,大秦帝国之纵横‎ (2013)
"[['剧情', '悬疑', '历史', '古装']]",,2239292,,9.1,,2005,大宋提刑官‎ (2005)
[['动画']],,30409718,,9.1,,2019,请吃红小豆吧！第二季‎ (2019)
[[]],,27168160,,9.1,,2017,Gon的旱獭 第一季‎ (2017)
,记忆的证明,,9.1,,2333726,,
,米老鼠和唐老鸭,,9.1,,26584425,,
,疯味英雄,,9.1,,26644850,,
,康熙王朝,,9.1,,1830590,,
,学问猫教汉字,,9.1,,2333619,,
,鸭子侦探,,9.0,,3160834,,
,茶啊二中 第二季,,9.1,,26613523,,
,闯关东,,9.0,,2373267,,
,官场现形记,,9.1,,3264730,,
,请吃红小豆吧！,,9.0,,30259908,,
,天道,,9.0,,2347485,,
,秦时明月之夜尽天明,,9.0,,3151809,,
,古城童话,,9.0,,3001441,,
,神厨小福贵,,9.0,,3025311,,
,京剧猫（上）,,9.0,,26345138,,
,哈哈镜花缘,,9.0,,3012751,,
,三国演义,,9.0,,3783963,,
,秦汉英雄传,,9.1,,5382880,,
,后宫·甄嬛传,,9.0,,4922787,,
,街坊邻居,,9.1,,2989885,,
[['动画']],,2333619,,9.1,,1998,学问猫教汉字‎ (1998)
[['动画']],,26644850,,9.1,,2015,疯味英雄‎ (2015)
"[['剧情', '爱情', '传记', '历史']]",,1830590,,9.1,,2001,康熙王朝‎ (2001)
"[['剧情', '历史', '战争']]",,2333726,,9.1,,2002,记忆的证明‎ (2002)
"[['儿童', '喜剧']]",,26584425,,9.1,,1986,米老鼠和唐老鸭‎ (1986)
"[['儿童', '动画', '奇幻', '冒险']]",,26345138,,9.0,,2015,京剧猫（上）‎ (2015)
[['动画']],,3160834,,9.0,,2000,鸭子侦探 A Miss Mallard Mystery‎ (2000)
"[['剧情', '动画']]",,3025311,,9.0,,2007,神厨小福贵‎ (2007)
"[['动画', '武侠']]",,3151809,,9.0,,2008,秦时明月之夜尽天明‎ (2008)
"[['剧情', '爱情']]",,2347485,,9.0,,2008,天道‎ (2008)
[['剧情']],,2373267,,9.0,,2008,闯关东‎ (2008)
"[['剧情', '儿童', '历史']]",,3001441,,9.0,,1999,古城童话‎ (1999)
"[['喜剧', '动画']]",,26613523,,9.1,,2015,茶啊二中 第二季‎ (2015)
"[['喜剧', '古装']]",,3264730,,9.1,,1997,官场现形记‎ (1997)
"[['喜剧', '动画', '奇幻', '短片']]",,30259908,,9.0,,2018,请吃红小豆吧！‎ (2018)
"[['剧情', '喜剧', '家庭']]",,2989885,,9.1,,2000,街坊邻居‎ (2000)
"[['剧情', '古装']]",,4922787,,9.0,,2011,后宫·甄嬛传‎ (2011)
"[['动作', '历史', '战争', '动画', '纪录片', '古装']]",,3783963,,9.0,,2009,三国演义‎ (2009)
,人间正道是沧桑,,9.0,,3153641,,
,中国刑侦1号案,,9.0,,3008313,,
,大染坊,,9.0,,2248529,,
,济公游记,,9.0,,5996825,,
,汉武大帝,,9.0,,2411184,,
,白夜追凶,,9.0,,26883064,,
,大明宫词,,9.0,,2154859,,
,非人哉,,9.0,,27620007,,
,夺宝幸运星,,9.0,,4275579,,
,路遥,,9.0,,7051283,,
,哐哐日记,,9.0,,4294292,,
,一起同过窗 第一季,,9.0,,26391976,,
,夺子战争,,9.0,,2240708,,
,雍正王朝,,8.9,,1830575,,
,岁月,,8.9,,2389241,,
,镜花缘,,8.9,,1888063,,
,命运的承诺,,8.9,,2275500,,
,九九归一,,8.9,,2245701,,
,我叫MT第一季,,8.9,,11533204,,
,暗算,,8.9,,2158486,,
"[['剧情', '动画']]",,3012751,,9.0,,1994,哈哈镜花缘‎ (1994)
"[['动画', '武侠', '古装']]",,5382880,,9.1,,2011,秦汉英雄传‎ (2011)
"[['剧情', '历史', '战争']]",,3153641,,9.0,,2009,人间正道是沧桑‎ (2009)
"[['剧情', '喜剧', '古装']]",,5996825,,9.0,,1998,济公游记‎ (1998)
[['剧情']],,2248529,,9.0,,2003,大染坊‎ (2003)
[['犯罪']],,3008313,,9.0,,2002,中国刑侦1号案‎ (2002)
[['动画']],,27620007,,9.0,,2018,非人哉‎ (2018)
[[]],,7051283,,9.0,,2010,路遥‎ (2010)
"[['喜剧', '动画', '短片']]",,4275579,,9.0,,2005,夺宝幸运星‎ (2005)
"[['剧情', '爱情']]",,2154859,,9.0,,2000,大明宫词‎ (2000)
[['剧情']],,2389241,,8.9,,2010,岁月‎ (2010)
"[['剧情', '历史', '古装']]",,2411184,,9.0,,2005,汉武大帝‎ (2005)
"[['剧情', '犯罪', '悬疑']]",,26883064,,9.0,,2017,白夜追凶‎ (2017)
"[['剧情', '家庭']]",,2240708,,9.0,,1997,夺子战争‎ (1997)
"[['剧情', '历史', '爱情']]",,1830575,,8.9,,1999,雍正王朝‎ (1999)
"[['动画', '奇幻', '短片', '古装']]",,1888063,,8.9,,1991,镜花缘‎ (1991)
[['剧情']],,26391976,,9.0,,2016,一起同过窗 第一季‎ (2016)
"[['喜剧', '动画', '儿童']]",,4294292,,9.0,,2009,哐哐日记‎ (2009)
[['剧情']],,2158486,,8.9,,2006,暗算‎ (2006)
[['剧情']],,2245701,,8.9,,2000,九九归一‎ (2000)
[['剧情']],,2275500,,8.9,,2002,命运的承诺‎ (2002)
"[['喜剧', '动画', '冒险']]",,11533204,,8.9,,2009,我叫MT第一季‎ (2009)
,天行九歌,,8.9,,26184588,,
,西安虎家,,8.9,,3027062,,
,魁拔,,8.9,,26087750,,
,魔道祖师,,8.9,,27015848,,
,刺客伍六七,,8.9,,27624762,,
,口水三国 第一季,,8.9,,26087367,,
,为了新生活前进,,8.9,,3733806,,
,快乐东西,,8.9,,3503813,,
,孔子,,8.9,,2988910,,
,大耳朵图图 第四季,,8.9,,25711821,,
,贻笑大方,,8.9,,2216439,,
,剑网3·侠肝义胆沈剑心,,8.9,,30243303,,
,葫芦小金刚,,8.9,,3069864,,
,人虫,,8.9,,4812777,,
,西游记,,8.9,,2156775,,
,狄仁杰断案传奇,,8.9,,4160349,,
,狐妖小红娘,,8.9,,26435736,,
,葫芦兄弟,,8.9,,1428576,,
,沉默的证人,,8.9,,2295891,,
,大江大河,,8.9,,26797690,,
"[['动画', '奇幻', '冒险']]",,26087750,,8.9,,2011,魁拔‎ (2011)
[['喜剧']],,3027062,,8.9,,2004,西安虎家‎ (2004)
"[['剧情', '历史', '动画', '冒险', '武侠']]",,26184588,,8.9,,2016,天行九歌‎ (2016)
"[['剧情', '动作', '动画']]",,3069864,,8.9,,1989,葫芦小金刚‎ (1989)
[['喜剧']],,2216439,,8.9,,2001,贻笑大方‎ (2001)
"[['剧情', '传记', '历史', '古装']]",,2988910,,8.9,,1991,孔子‎ (1991)
[['动画']],,25711821,,8.9,,2011,大耳朵图图 第四季‎ (2011)
"[['剧情', '喜剧', '动画']]",,30243303,,8.9,,2018,剑网3·侠肝义胆沈剑心‎ (2018)
"[['剧情', '动画', '儿童']]",,3503813,,8.9,,2003,快乐东西‎ (2003)
[['喜剧']],,3733806,,8.9,,1996,为了新生活前进‎ (1996)
"[['剧情', '喜剧', '动作', '动画']]",,27624762,,8.9,,2018,刺客伍六七‎ (2018)
"[['喜剧', '动画', '短片']]",,26087367,,8.9,,2014,口水三国 第一季‎ (2014)
[['动画']],,26435736,,8.9,,2015,狐妖小红娘‎ (2015)
"[['剧情', '动画', '古装']]",,27015848,,8.9,,2018,魔道祖师‎ (2018)
"[['儿童', '动画']]",,1428576,,8.9,,1986,葫芦兄弟‎ (1986)
[['剧情']],,26797690,,8.9,,2018,大江大河‎ (2018)
"[['动画', '奇幻', '古装']]",,2156775,,8.9,,1999,西游记‎ (1999)
"[['剧情', '悬疑', '犯罪']]",,2295891,,8.9,,2004,沉默的证人‎ (2004)
"[['剧情', '悬疑', '古装']]",,4160349,,8.9,,1986,狄仁杰断案传奇‎ (1986)
,一起同过窗 第二季,,8.8,,26979979,,
,生死线,,8.8,,3629206,,
,勇者大冒险  第二季,,8.9,,26757997,,
,北平无战事,,8.8,,24695611,,
,最好的我们,,8.8,,26602244,,
,怪老头儿,,8.8,,1941319,,
,禽兽超人之无奸不摧,,8.9,,26841316,,
,一禅小和尚,,8.9,,26969075,,
,民工,,8.9,,2988897,,
,征服,,8.8,,1917796,,
,唐人街,,8.9,,2296027,,
,四世同堂,,8.8,,3901451,,
,蓝猫淘气3000问之恐龙时代,,8.8,,26829827,,
,那年那兔哪些事儿 番外篇,,8.8,,26877495,,
,似水年华,,8.8,,2157156,,
,八兄弟,,8.8,,3025342,,
,小和尚,,8.8,,3241944,,
,少年特工,,8.8,,2154872,,
[['剧情']],,4812777,,8.9,,1998,人虫‎ (1998)
,舞乐传奇,,8.8,,21759697,,
,雷雨,,8.8,,10467781,,
"[['剧情', '爱情']]",,26602244,,8.8,,2016,最好的我们‎ (2016)
"[['剧情', '爱情']]",,26979979,,8.8,,2017,一起同过窗 第二季‎ (2017)
"[['动作', '动画', '奇幻', '冒险']]",,26757997,,8.9,,2016,勇者大冒险  第二季‎ (2016)
"[['剧情', '战争']]",,24695611,,8.8,,2014,北平无战事‎ (2014)
